t,KE
1440, 120.82194466223606
1445, 121.45386561938274
1450, 120.13998665563648
1455, 118.95982451680493
1460, 123.41554857152097
1465, 127.13525521314811
1470, 125.99509099226557
1475, 122.45652964761764
1480, 116.82114256547794
1485, 117.50113437960773
1490, 119.83979610675598
1495, 123.8484553286868
